species,sp_synonym,log_bodymass,clutch_size,longevity,migrant_cat,migrant_num,diet_cat
Accipiter gentilis,Accipiter gentilis,6.763931097,3.5,17.70833333,Resident,0,VertFishScav
Accipiter nisus,Accipiter nisus,5.397212024,4.75,17.89166667,Semi,1,VertFishScav
Acrocephalus arundinaceus,Acrocephalus arundinaceus,3.401197382,4.2,10,Migrant,2,Invertebrate
Acrocephalus palustris,Acrocephalus palustris,2.442347035,4.41,8.999833333,Migrant,2,Invertebrate
Acrocephalus scirpaceus,Acrocephalus scirpaceus,2.509599262,3.9,12.45,Migrant,2,Invertebrate
Aegithalos caudatus,Aegithalos caudatus,2.151762203,9.9,10.8,Semi,1,Invertebrate
Aix galericulata,Aix galericulata,6.340429848,10.5,9,Resident,0,PlantSeed
Alauda arvensis,Alauda arvensis,3.619261387,3.43,10,Migrant,2,PlantSeed
Anas platyrhynchos,Anas platyrhynchos,6.737465055,10.515,29,Semi,1,Omnivore
Anser anser,Anser anser,8.102407784,5,26,Migrant,2,PlantSeed
Anthus trivialis,Anthus trivialis,3.149740086,4.64,8.1835,Migrant,2,Invertebrate
Buteo buteo,Buteo buteo,6.632133521,3,25.33666667,Semi,1,VertFishScav
Linaria cannabina,Carduelis cannabina,2.971951745,4.9,9.408333333,Semi,1,PlantSeed
Carduelis carduelis,Carduelis carduelis,2.772588722,4.9,14.08333333,Semi,1,PlantSeed
Chloris chloris,Carduelis chloris,3.258096538,4.9,13,Semi,1,PlantSeed
Certhia brachydactyla,Certhia brachydactyla,2.104134154,5.9,5.725,Resident,0,Invertebrate
Certhia familiaris,Certhia familiaris,2.197224577,5.45,7.425,Resident,0,Invertebrate
Charadrius dubius,Charadrius dubius,3.6558396,4,12.5415,Migrant,2,Invertebrate
Circus aeruginosus,Circus aeruginosus,6.556877783,4.75,18.2,Migrant,2,VertFishScav
Coccothraustes coccothraustes,Coccothraustes coccothraustes,4.03653888,4,12.58333333,Semi,1,PlantSeed
Columba livia,Columba livia domestica,5.869861725,2,21.54166667,Semi,1,PlantSeed
Columba oenas,Columba oenas,5.672601357,2.17,12.58333333,Migrant,2,PlantSeed
Columba palumbus,Columba palumbus,6.194405391,1.9,16.33166667,Semi,1,PlantSeed
Corvus corax,Corvus corax,6.832999405,4.8,21.8335,Resident,0,VertFishScav
Corvus corone,Corvus corone,6.345636361,4.5,14.66666667,Resident,0,VertFishScav
Corvus monedula,Coloeus monedula,5.505331536,4.5,14.5,Semi,1,Omnivore
Coturnix coturnix,Coturnix coturnix,4.567260613,10.30487805,11,Migrant,2,PlantSeed
Cuculus canorus,Cuculus canorus,4.712768197,9.2,12.90833333,Migrant,2,Invertebrate
Delichon urbicum,Delichon urbicum,2.705379973,4,14.5,Migrant,2,Invertebrate
Dendrocopos major,Dendrocopos major,4.316687793,5.7,12.68333333,Semi,1,Omnivore
Dendrocopos medius,Dendrocopos medius,4.077537444,5.64,8,Resident,0,Invertebrate
Dryobates minor,Dendrocopos minor,2.985681938,5.9,9.8,Semi,1,Invertebrate
Dryocopus martius,Dryocopus martius,5.771441123,4.8,14,Semi,1,Invertebrate
Emberiza citrinella,Emberiza citrinella,3.391147046,3.9,13,Resident,0,PlantSeed
Emberiza schoeniclus,Emberiza schoeniclus,2.912350665,4.5,11.225,Semi,1,PlantSeed
Erithacus rubecula,Erithacus rubecula,2.87356464,5.17,17.2,Semi,1,Omnivore
Falco tinnunculus,Falco tinnunculus,5.210633036,4.5,20.41666667,Resident,0,VertFishScav
Ficedula hypoleuca,Ficedula hypoleuca,2.623943692,5.85,10.91666667,Migrant,2,Invertebrate
Fringilla coelebs,Fringilla coelebs,3.17010566,4.5,29,Semi,1,Invertebrate
Fulica atra,Fulica atra,6.575243191,7.6,20.59166667,Semi,1,PlantSeed
Galerida cristata,Galerida cristata,3.753730426,4.275,8.791666667,Resident,0,PlantSeed
Gallinula chloropus,Gallinula chloropus,5.82785679,7,12.83333333,Semi,1,Omnivore
Garrulus glandarius,Garrulus glandarius,5.071793107,5,17,Semi,1,Omnivore
Hippolais icterina,Hippolais icterina,2.58021683,4.5,10.8,Migrant,2,Invertebrate
Hirundo rustica,Hirundo rustica,2.885359216,4.495,13.50166667,Migrant,2,Invertebrate
Jynx torquilla,Jynx torquilla,3.554204551,8.5,10,Migrant,2,Invertebrate
Lanius collurio,Lanius collurio,3.347796605,5.5,7.775,Migrant,2,Invertebrate
Locustella fluviatilis,Locustella fluviatilis,2.778819272,5.2,6.916666667,Migrant,2,Invertebrate
Locustella luscinioides,Locustella luscinioides,2.631169157,4.5,8.625,Migrant,2,Invertebrate
Locustella naevia,Locustella naevia,2.587764035,5.5,5.358333333,Migrant,2,Invertebrate
Lullula arborea,Lullula arborea,3.292126287,3.735,4.95,Migrant,2,Omnivore
Luscinia megarhynchos,Luscinia megarhynchos,2.975529566,4.78,10.9,Migrant,2,Invertebrate
Emberiza calandra,Miliaria calandra,3.881563798,4.5,10.5,Semi,1,PlantSeed
Motacilla alba,Motacilla alba,3.175132902,5.25,12.25,Semi,1,Invertebrate
Motacilla flava,Motacilla flava,2.872434057,5.2,8.816666667,Migrant,2,Invertebrate
Muscicapa striata,Muscicapa striata,2.766319109,3.5,11.8,Migrant,2,Invertebrate
Oenanthe oenanthe,Oenanthe oenanthe,3.234355396,5.5,9.6,Migrant,2,Invertebrate
Oriolus oriolus,Oriolus oriolus,4.369447852,3.5,14.8,Migrant,2,Omnivore
Periparus ater,Parus ater,2.219203484,5.7,9.416666667,Semi,1,Omnivore
Cyanistes caeruleus,Parus caeruleus,3.526360525,8,13.08316667,Semi,1,Invertebrate
Lophophanes cristatus,Parus cristatus,2.401525041,6.5,11.58316667,Resident,0,Invertebrate
Parus major,Parus major,2.788092909,8.6,15.2,Semi,1,Omnivore
Poecile palustris,Parus palustris,2.410542234,8,11.9,Resident,0,Omnivore
Passer montanus,Passer montanus,3.062923523,5,11.58316667,Resident,0,PlantSeed
Phasianus colchicus,Phasianus colchicus,7.021360712,11,27,Resident,0,PlantSeed
Phoenicurus ochruros,Phoenicurus ochruros,2.803360381,4.9,9.291666667,Migrant,2,Invertebrate
Phoenicurus phoenicurus,Phoenicurus phoenicurus,2.680336363,6.18,10.2,Migrant,2,Invertebrate
Phylloscopus collybita,Phylloscopus collybita,2.116255515,5.5,7.8,Migrant,2,Invertebrate
Phylloscopus sibilatrix,Phylloscopus sibilatrix,2.219203484,5.9,10.225,Migrant,2,Invertebrate
Phylloscopus trochilus,Phylloscopus trochilus,2.163323026,6.23,10.83333333,Migrant,2,Invertebrate
Pica pica,Pica pica,5.382106892,6,10.49166667,Resident,0,VertFishScav
Picus viridis,Picus viridis,5.170483995,6.1,15.08333333,Semi,1,Invertebrate
Podiceps cristatus,Podiceps cristatus,6.594358739,3.77,16.85,Semi,1,VertFishScav
Podiceps grisegena,Podiceps grisegena,6.930494766,4.5,4.8,Semi,1,Omnivore
Prunella modularis,Prunella modularis,3.007660844,4.9,10.35,Migrant,2,Omnivore
Pyrrhula pyrrhula,Pyrrhula pyrrhula,3.188828904,4.5,17.5,Semi,1,PlantSeed
Rallus aquaticus,Rallus aquaticus,4.7065528,8.5,8.775,Migrant,2,Omnivore
Regulus ignicapilla,Regulus ignicapilla,1.722766598,8.5,NA,Migrant,2,Invertebrate
Regulus regulus,Regulus regulus,1.711994501,8.5,7,Semi,1,Invertebrate
Saxicola rubetra,Saxicola rubetra,2.809402695,5.5,6.058333333,Migrant,2,Invertebrate
Saxicola rubicola,Saxicola rubicola,2.708050201,5.16,8.816666667,Migrant,2,Invertebrate
Serinus serinus,Serinus serinus,2.415913778,3.6,8.666666667,Migrant,2,PlantSeed
Sitta europaea,Sitta europaea,3.01406323,7.4,12.86666667,Resident,0,Invertebrate
Streptopelia decaocto,Streptopelia decaocto,5.003677814,2,17.66666667,Resident,0,PlantSeed
Strix aluco,Strix aluco,6.157953087,3.1,21.5,Resident,0,VertFishScav
Sturnus vulgaris,Sturnus vulgaris,4.345621953,5,20.69166667,Semi,1,Omnivore
Sylvia atricapilla,Sylvia atricapilla,2.815408719,4.5,9.8,Migrant,2,Omnivore
Sylvia borin,Sylvia borin,2.901421594,4.5,19.0835,Migrant,2,Omnivore
Sylvia communis,Sylvia communis,2.714694744,4.5,7.501666667,Migrant,2,Invertebrate
Sylvia curruca,Sylvia curruca,2.437115986,4.8,7.5915,Migrant,2,Invertebrate
Sylvia nisoria,Sylvia nisoria,3.113515309,4.88,11.9,Migrant,2,Invertebrate
Tachybaptus ruficollis,Tachybaptus ruficollis,5.132439862,5,13.08333333,Semi,1,Invertebrate
Troglodytes troglodytes,Troglodytes troglodytes,2.276241118,5.555,5.833333333,Semi,1,Invertebrate
Turdus merula,Turdus merula,4.632104187,4,21.06666667,Semi,1,Omnivore
Turdus philomelos,Turdus philomelos,4.215676847,4,17.54183333,Semi,1,Omnivore
